"Start Time,""Period (min)"",""NE Name"",""FEGE"",""VS.FEGE.RXMEANSPEED (kbit/s)"",""VS.FEGE.TXMEANSPEED (kbit/s)"""
"04/19/2018 05:00:00,30,KTPHR04,""PN=1, SN=23, SRN=0"",5.035,0.256"
"04/19/2018 05:00:00,30,KTPHR04,""PN=0, SN=23, SRN=0"",5.336,0.261"
"04/19/2018 05:00:00,30,KTPHR04,""PN=0, SN=18, SRN=0"",36761.651,71030.444"
"04/19/2018 05:00:00,30,KTPHR04,""PN=1, SN=22, SRN=0"",52937.985,10029.671"
"04/19/2018 05:00:00,30,KTPHR04,""PN=0, SN=22, SRN=0"",717.361,599.44"
"04/19/2018 05:00:00,30,KTPHR04,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 05:00:00,30,KTPHR04,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 05:00:00,30,KTPHR04,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 05:00:00,30,KTPHR05,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 05:00:00,30,KTPHR05,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 05:00:00,30,KTPHR05,""PN=0, SN=18, SRN=0"",85756.136,160779.299"
"04/19/2018 05:00:00,30,KTPHR05,""PN=1, SN=23, SRN=0"",120320.6,28152.434"
"04/19/2018 05:00:00,30,KTPHR05,""PN=0, SN=23, SRN=0"",2919.319,1896.648"
"04/19/2018 05:00:00,30,KTPHR05,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 05:00:00,30,KTPHR05,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 05:00:00,30,KTPHR05,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 05:00:00,30,KTPHR02,""PN=0, SN=19, SRN=0"",80564.445,166189.342"
"04/19/2018 05:00:00,30,KTPHR02,""PN=0, SN=18, SRN=0"",1.024,1.023"
"04/19/2018 05:00:00,30,KTPHR02,""PN=1, SN=22, SRN=0"",5.037,0.256"
"04/19/2018 05:00:00,30,KTPHR02,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 05:00:00,30,KTPHR02,""PN=1, SN=23, SRN=0"",124210.29,18754.768"
"04/19/2018 05:00:00,30,KTPHR02,""PN=0, SN=23, SRN=0"",2277.178,1777.567"
"04/19/2018 05:00:00,30,KTPHR02,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 05:00:00,30,KTPHR02,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 05:00:00,30,KTPHR07,""PN=0, SN=18, SRN=0"",58453.587,115687.645"
"04/19/2018 05:00:00,30,KTPHR07,""PN=0, SN=23, SRN=0"",2187.712,1777.234"
"04/19/2018 05:00:00,30,KTPHR07,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 05:00:00,30,KTPHR07,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 05:00:00,30,KTPHR07,""PN=1, SN=23, SRN=0"",87757.592,19828.451"
"04/19/2018 05:00:00,30,KTPHR07,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 05:00:00,30,KTPHR07,""PN=0, SN=19, SRN=0"",1.133,1.023"
"04/19/2018 05:00:00,30,KTPHR07,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 05:30:00,30,KTPHR04,""PN=1, SN=23, SRN=0"",5.034,0.256"
"04/19/2018 05:30:00,30,KTPHR04,""PN=0, SN=23, SRN=0"",5.334,0.261"
"04/19/2018 05:30:00,30,KTPHR04,""PN=0, SN=18, SRN=0"",37902.458,81161.722"
"04/19/2018 05:30:00,30,KTPHR04,""PN=1, SN=22, SRN=0"",61939.674,10242.4"
"04/19/2018 05:30:00,30,KTPHR04,""PN=0, SN=22, SRN=0"",846.37,713.17"
"04/19/2018 05:30:00,30,KTPHR04,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 05:30:00,30,KTPHR04,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 05:30:00,30,KTPHR04,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 05:30:00,30,KTPHR05,""PN=1, SN=22, SRN=0"",5.034,0.256"
"04/19/2018 05:30:00,30,KTPHR05,""PN=0, SN=22, SRN=0"",5.335,0.261"
"04/19/2018 05:30:00,30,KTPHR05,""PN=0, SN=18, SRN=0"",88801.019,179093.741"
"04/19/2018 05:30:00,30,KTPHR05,""PN=1, SN=23, SRN=0"",136972.072,30239.289"
"04/19/2018 05:30:00,30,KTPHR05,""PN=0, SN=23, SRN=0"",3230.663,1754.127"
"04/19/2018 05:30:00,30,KTPHR05,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 05:30:00,30,KTPHR05,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 05:30:00,30,KTPHR05,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 05:30:00,30,KTPHR02,""PN=0, SN=19, SRN=0"",84037.677,176596.413"
"04/19/2018 05:30:00,30,KTPHR02,""PN=0, SN=18, SRN=0"",1.024,1.023"
"04/19/2018 05:30:00,30,KTPHR02,""PN=1, SN=22, SRN=0"",5.034,0.256"
"04/19/2018 05:30:00,30,KTPHR02,""PN=0, SN=22, SRN=0"",5.335,0.261"
"04/19/2018 05:30:00,30,KTPHR02,""PN=1, SN=23, SRN=0"",133348.144,20922.43"
"04/19/2018 05:30:00,30,KTPHR02,""PN=0, SN=23, SRN=0"",2230.814,1930.545"
"04/19/2018 05:30:00,30,KTPHR02,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 05:30:00,30,KTPHR02,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 05:30:00,30,KTPHR07,""PN=0, SN=18, SRN=0"",58414.391,114683.499"
